syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_area_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length,pre_contrast,pre_homogeneity,pre_energy,pre_correlation,post_contrast,post_homogeneity,post_energy,post_correlation,pre_25th,pre_median,pre_75th,post_25th,post_median,post_75th,pre_post_median_ratio,pre_post_iqr_ratio,pre_intensity_range,post_intensity_range,pre_perimeter,post_perimeter,pre_solidity,post_solidity,pre_eccentricity,post_eccentricity
148154529,864691136195108940,864691135407995337,3524,23P,E,4P,E,4287,1328,2959,0.44880027036160863,377.43354954612926,0.37816588234738935,129.51394044444444,129.0,5.486664833698341,61.80459256898123,0.0,0.0,0.0,150.07682039218682,43.787176058153456,244.4635707100292,0.9495843885070567,0.9378445798028631,0.957402610588588,371.25762030239054,0.890687413835575,0.8641775755648246,0.9683981023744572,126.0,129.0,133.0,126.0,129.0,133.0,1.0,1.0,28,28,199,298,0.8800530152418821,0.7298963986186483,0.6061729119099996,0.9294588977206755
186337145,864691135012520694,864691135782125904,4016,5P-ET,E,BC,I,15448,6543,8905,0.7347557551937114,651.1025971044414,0.45791331241660194,134.22278755555556,134.0,8.620450452347946,73.59919374871369,0.0,0.0,0.0,167.8565266795173,143.2685706115041,259.58090221161444,0.7560113129417991,0.7048365737282285,0.9856076579408413,405.49140504181867,0.6653813259629883,0.5970083037306653,0.9819634651423108,128.0,134.0,140.0,127.0,134.0,140.0,1.0,0.9230769230769231,38,38,256,186,0.9735158458562714,0.9235635760215722,0.6969957990004082,0.920384603858578
182230409,864691136116443044,864691134885430010,6656,5P-NP,E,6P-IT,E,11038,2681,8357,0.32080890271628576,572.4041122946064,0.4233453202917296,133.5856657777778,132.0,8.625638031391754,61.76298171878851,0.0,0.0,0.0,169.98758599420506,96.0126250076133,311.0450775490615,0.9015450463142934,0.8760326021634907,0.9699349438201981,455.7363035448876,0.7005466168133447,0.6220541663695727,0.980013007499055,127.0,132.0,140.0,128.0,132.0,140.0,1.0,1.0833333333333333,51,51,259,178,0.9364303178484108,0.8130959330609068,0.7740565401285333,0.917630327699119
189572215,864691135940846502,864691135585851260,20684,23P,E,6P-IT,E,7711,2024,5687,0.35589941972920697,330.6761902332486,0.8861652513593492,133.56809896296295,134.0,5.956515524860994,40.3676127115597,0.0,0.0,0.0,103.93801921992026,94.98281082907988,294.32292629461244,0.9244254970679726,0.9061948861711282,0.9667566274300846,499.1426129453647,0.7920551313059551,0.7394026320271692,0.9748341409143032,129.0,133.0,137.0,129.0,134.0,137.0,0.9925373134328358,1.0,33,33,225,411,0.9520225776105362,0.8379254457050244,0.7279520373835304,0.7633654968015025
220132875,864691136137513341,864691136274194110,1732,MC,I,5P-IT,E,5607,1657,3950,0.419493670886076,460.6761902332485,0.33200825872847634,126.75731466666667,126.0,6.2402254095760235,66.84250246181574,0.0,0.0,0.0,154.75607552517266,61.18115372454426,377.3705137906718,0.9368441732192315,0.9218460952378549,0.9483046352827014,327.20714802636724,0.8538227948487729,0.8199608928205905,0.9764276357014681,122.0,126.0,131.0,122.0,126.0,131.0,1.0,1.0,29,29,279,272,0.7538671519563239,0.9095095556067234,0.9584908367079368,0.8707027254756156
157421555,864691135491381991,864691135808579613,4956,4P,E,4P,E,4186,2401,1785,1.3450980392156864,294.6995308303615,0.6056897150195701,131.38759881481482,130.0,11.422560887683124,34.56380274663592,0.0,0.0,0.0,90.12831263504519,66.722641579761,349.36503355704815,0.9076899836280078,0.8880705278620892,0.959800054017128,216.42329279462024,0.9312097365725205,0.9171469067830876,0.9691275369382895,123.0,130.0,141.0,123.0,130.0,141.0,1.0,1.0,49,49,305,213,0.7526645768025079,0.9743449781659389,0.8979856777116721,0.7723156100263868
347093439,864691135516910035,864691135755495890,13872,5P-IT,E,5P-ET,E,7896,5670,2226,2.547169811320755,383.19090885900994,0.6757508641641249,127.188032,127.0,6.199479867992368,49.99912667190491,0.0,0.0,0.0,122.76214163082385,86.01133643340752,463.1431392730092,0.7893163015720912,0.7399636338021425,0.9714735782331569,287.3634301758194,0.9168692758027444,0.89678619525822,0.9671346879523333,122.0,127.0,132.0,122.0,127.0,132.0,1.0,1.0,28,28,413,241,0.7772446881425634,0.9298245614035088,0.673617002977085,0.8328190307889397
453579742,864691135374488649,864691135741051243,8048,6P-IT,E,6P-IT,E,14696,6828,7868,0.8678190137264871,575.4629867976521,0.5576660633061411,137.56384474074073,137.0,5.6492077449299085,65.97961129489218,0.0,0.0,0.0,169.21301212544032,127.08538924865468,503.93665885921234,0.7495357581163556,0.6891370312179044,0.9757504139365312,467.25769522394035,0.7150386475590977,0.6440072347074237,0.9799319436685471,134.0,136.0,142.0,134.0,136.0,142.0,1.0,1.0,26,26,425,211,0.7538920172242465,0.8050752072035199,0.5799371527500147,0.8956965244833293
44798901,864691135273082129,864691136195093462,3484,23P,E,MC,I,8779,3633,5146,0.705985231247571,473.26197667087547,0.4925515458582529,128.26466607407409,127.0,5.740183699697357,71.86719416074054,0.0,0.0,0.0,159.98675970468486,82.1429283716614,338.8589228713442,0.8603546829177463,0.83288581158575,0.9724705210343781,291.64139137876884,0.805695314554679,0.7669525601846089,0.9819805115557816,124.0,127.0,131.0,124.0,127.0,131.0,1.0,1.0,33,33,293,247,0.9301075268817204,0.9629491017964071,0.6647454985733144,0.5447919879791939
422111201,864691135762472758,864691136451995135,4468,6P-CT,E,6P-CT,E,9075,3943,5132,0.7683164458300857,527.469083452062,0.40988542808778167,133.03528888888889,133.0,7.475022053099307,54.18907704017522,0.0,0.0,0.0,129.37623524223804,115.09106898180035,372.009687851901,0.8510171507458373,0.8184545992065428,0.9735043720170148,444.0809119709346,0.8101027016143006,0.765358228663358,0.9738574441709288,127.0,133.0,138.0,127.0,133.0,138.0,1.0,1.0,35,35,285,363,0.8616695804195804,0.823227462303497,0.6380905139973589,0.9404717380045293
