,syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type
639,120109665,864691137020765806,864691135584909688,2804,BC,I,5P-IT,E
640,55756732,864691136008393900,864691136762180974,10040,6P-IT,E,5P-ET,E
641,40281829,864691134964691231,864691135156462948,3220,5P-IT,E,6P-CT,E
642,66062125,864691135183064578,864691136329645802,2032,6P-IT,E,5P-ET,E
643,381287316,864691135516673491,864691135113949849,3772,6P-CT,E,MC,I
644,435010911,864691135383475418,864691135786179780,12184,5P-IT,E,6P-IT,E
645,325306307,864691135938492981,864691136008479404,2052,4P,E,4P,E
646,308604174,864691136124184102,864691136051823347,2244,MC,I,23P,E
647,120516156,864691136100634997,864691135511524816,8108,6P-IT,E,5P-ET,E
648,123579980,864691136008986030,864691135213248640,4720,5P-ET,E,6P-IT,E
649,175656166,864691135685297591,864691135585782908,4480,4P,E,MC,I
650,450042222,864691136195034088,864691136088968503,1636,6P-IT,E,6P-IT,E
651,290359842,864691135560915681,864691136194183656,356,5P-IT,E,5P-ET,E
652,140989236,864691135759876686,864691135731711417,960,5P-NP,E,BC,I
653,408701453,864691135383729643,864691136310674522,172,6P-IT,E,6P-IT,E
654,356942001,864691135323241884,864691135565446167,216,4P,E,4P,E
655,167377026,864691135065680452,864691135502338370,896,6P-IT,E,6P-CT,E
656,224632085,864691136125058342,864691135294363916,19248,6P-IT,E,5P-IT,E
657,478905025,864691135781606480,864691136937175775,4604,4P,E,5P-NP,E
658,374870011,864691136209503676,864691135992403393,15508,6P-IT,E,6P-IT,E
659,260116470,864691135946400036,864691135754608850,6848,6P-CT,E,6P-IT,E
660,78168082,864691135404637166,864691136741460828,772,23P,E,23P,E
661,176317870,864691136005624778,864691135133444768,3472,6P-IT,E,6P-IT,E
662,428161250,864691135919186352,864691135800588386,5280,6P-IT,E,6P-IT,E
663,368337091,864691136672938887,864691135323962524,3492,6P-IT,E,BC,I
664,471558227,864691135715952410,864691136521597073,1160,4P,E,BC,I
665,327457149,864691135468643212,864691135162807597,6328,23P,E,5P-ET,E
666,204153412,864691135473465394,864691135586376316,228,6P-CT,E,5P-IT,E
667,417180067,864691135946997601,864691137020295790,744,4P,E,4P,E
668,366040058,864691135731192505,864691135841629667,1628,4P,E,6P-IT,E
669,234708031,864691135374011848,864691135383847403,1260,BC,I,BC,I
670,367215975,864691136108731576,864691135684892599,13244,6P-IT,E,6P-CT,E
671,336347590,864691136924080356,864691135565262359,4052,NGC,I,23P,E
672,389888793,864691135581591661,864691135013934230,6660,23P,E,BC,I
673,119193395,864691136740407388,864691136100710261,3136,MC,I,4P,E
674,129149352,864691136238388284,864691136195209292,1940,23P,E,23P,E
675,488201923,864691136227862097,864691135936853507,1472,4P,E,MC,I
676,318133259,864691136227933009,864691135739595412,3416,23P,E,MC,I
677,339437490,864691135117800925,864691135135476249,3048,6P-IT,E,6P-IT,E
678,434137917,864691135808156957,864691135211097536,2948,BC,I,BC,I
679,280731193,864691135754535378,864691136904184754,3068,6P-IT,E,5P-IT,E
680,378567281,864691135919356592,864691135210766016,1556,MC,I,23P,E
681,343563025,864691135570021254,864691134948266236,8536,BPC,I,23P,E
682,78225619,864691135279657633,864691134885805306,16404,6P-CT,E,5P-IT,E
683,435699483,864691135502923189,864691135383424218,9724,6P-IT,E,6P-IT,E
684,190679390,864691136090901940,864691136267358708,1732,6P-IT,E,6P-IT,E
685,444691123,864691136391330687,864691136951592927,396,23P,E,23P,E
686,360400417,864691136006144202,864691136866259822,328,6P-CT,E,5P-ET,E
687,361835030,864691135618496399,864691135468761938,4080,6P-IT,E,6P-IT,E
688,161673572,864691136143686452,864691135114279833,5140,6P-IT,E,BC,I
689,354185924,864691135661421296,864691136267083252,2680,5P-IT,E,6P-CT,E
690,78356833,864691135808272669,864691135273287441,1516,23P,E,BC,I
691,388917255,864691136554597282,864691135969369701,2880,5P-IT,E,6P-IT,E
692,432729911,864691135013410294,864691135782265424,5652,4P,E,23P,E
693,134153074,864691136923794148,864691135658888578,12204,4P,E,5P-IT,E
694,328484687,864691135800154210,864691136389144695,2296,6P-IT,E,6P-CT,E
695,66578596,864691135211443648,864691135754620109,4036,4P,E,5P-ET,E
696,218570197,864691135590724619,864691136084058988,1016,6P-IT,E,6P-CT,E
697,185376368,864691135539005554,864691135123209511,20296,23P,E,6P-IT,E
698,54933397,864691135493119940,864691136238641468,6680,23P,E,BC,I
699,491722103,864691135404421614,864691135936853507,3288,23P,E,MC,I
700,128840582,864691136487841042,864691135394712565,168,6P-IT,E,6P-CT,E
701,502411787,864691135135396889,864691135065309764,8564,6P-CT,E,5P-ET,E
702,279606595,864691135502515037,864691136577478420,560,23P,E,5P-IT,E
703,186245103,864691135341959877,864691135517663370,5288,23P,E,BPC,I
704,145169433,864691135582429549,864691136289482724,20124,23P,E,23P,E
705,57542700,864691135808316701,864691135491040871,5760,23P,E,23P,E
706,229570643,864691135586962930,864691135884900976,464,6P-IT,E,MC,I
707,401177441,864691135684334578,864691136566374050,4496,4P,E,BC,I
708,351215329,864691136673148295,864691135848874846,3232,4P,E,BC,I
709,110614134,864691135683429362,864691135374778697,6324,23P,E,23P,E
710,200223145,864691135953759240,864691135841783523,1664,6P-IT,E,6P-IT,E
711,209931898,864691135341369285,864691136286892227,9892,4P,E,4P,E
712,500343329,864691135679641586,864691135753634765,1288,MC,I,6P-IT,E
713,226422242,864691135397186337,864691136754824814,4636,23P,E,MC,I
714,227143809,864691134965363743,864691136066338712,1324,5P-IT,E,5P-IT,E
715,288862941,864691135700332066,864691135777861309,13300,23P,E,5P-IT,E
716,226509579,864691135335151081,864691136389826064,5060,23P,E,23P,E
717,302290526,864691135816503887,864691135865472220,35864,6P-IT,E,6P-CT,E
718,79128434,864691135415457722,864691135383659499,3500,6P-IT,E,23P,E
719,97308403,864691135810098636,864691136009245356,1688,6P-IT,E,6P-IT,E
720,218436078,864691135355882703,864691135777916861,4104,6P-CT,E,BC,I
721,415225940,864691135360105031,864691135989964234,1572,23P,E,6P-IT,E
722,342454614,864691135700202018,864691135182484226,7428,23P,E,23P,E
723,230009551,864691135838127763,864691135104385101,25916,23P,E,23P,E
724,287572057,864691134964725791,864691135182124802,10776,6P-CT,E,6P-IT,E
725,357730940,864691135012485622,864691136312852029,2616,23P,E,23P,E
726,211783646,864691135195699754,864691136912937969,3520,5P-IT,E,23P,E
727,223351146,864691136595510434,864691135429677872,1460,23P,E,4P,E
728,120756633,864691135516892115,864691135866091141,15176,BC,I,6P-IT,E
729,44538948,864691135590985739,864691135937154564,7516,5P-IT,E,5P-IT,E
730,170761672,864691136297393179,864691135615404491,12148,23P,E,BC,I
731,392668515,864691136724626173,864691136379315413,9884,4P,E,4P,E
732,460257945,864691134940788067,864691136025096761,5364,6P-CT,E,6P-IT,E
733,483927399,864691135991475905,864691136923707620,2168,6P-IT,E,6P-IT,E
734,500812699,864691135342041285,864691136723972605,4892,MC,I,BPC,I
735,107244833,864691135947773281,864691135395264501,744,4P,E,5P-IT,E
736,259133550,864691135163587629,864691136089177143,2552,4P,E,BC,I
737,245012120,864691135584800632,864691136051751923,5400,BC,I,4P,E
738,135747026,864691137019548270,864691135588299204,14376,6P-IT,E,6P-IT,E
739,321851046,864691136662413534,864691135740692843,2480,6P-IT,E,BC,I
740,67862683,864691136951646943,864691136662437598,8884,6P-IT,E,BC,I
741,245354945,864691135938334261,864691135661411568,784,6P-CT,E,MC,I
742,357394706,864691135570739693,864691135946624036,1876,5P-IT,E,23P,E
743,448824062,864691135640006203,864691136110005176,3424,23P,E,23P,E
744,205772146,864691135082726903,864691136334316723,576,23P,E,4P,E
745,146500582,864691135498042899,864691136990965141,2668,4P,E,4P,E
746,273890280,864691135740003476,864691136873765998,228,6P-CT,E,5P-IT,E
747,402500293,864691135876863827,864691135841399011,432,6P-CT,E,6P-CT,E
748,275617324,864691135304252583,864691136105886937,14016,5P-IT,E,MC,I
749,41921979,864691135771651659,864691135194395434,2624,5P-NP,E,5P-ET,E
750,401345884,864691136522421393,864691135584827768,2828,23P,E,BC,I
751,302795498,864691136144620852,864691135685084855,5212,4P,E,BC,I
752,47454185,864691135865604485,864691136362480610,6840,4P,E,BC,I
753,408454452,864691135687602656,864691135561304545,24836,23P,E,5P-IT,E
754,97776264,864691136423644463,864691135464230469,6324,4P,E,4P,E
755,442908600,864691136723600637,864691135696934554,4024,6P-IT,E,6P-CT,E
756,427068789,864691136297322011,864691135639894843,904,23P,E,BC,I
757,72635718,864691135772593227,864691136237493564,216,23P,E,BPC,I
758,175237909,864691135122337831,864691135718957105,8484,6P-CT,E,MC,I
759,160015735,864691135687848416,864691136085174380,488,6P-IT,E,MC,I
760,299504492,864691136595210402,864691134940797539,8804,4P,E,4P,E
761,499748457,864691135987851523,864691135687707360,10984,5P-ET,E,6P-CT,E
762,218409772,864691136091689396,864691135755533010,23224,6P-CT,E,6P-CT,E
763,200674533,864691135989068800,864691135473003314,1424,23P,E,23P,E
764,265114866,864691135693706687,864691135082235383,5956,23P,E,5P-ET,E
765,308450621,864691135463414846,864691135082275831,316,6P-CT,E,6P-IT,E
766,182583176,864691135781315920,864691136109298360,3552,5P-IT,E,MC,I
767,218192690,864691135696626842,864691135455040874,976,5P-IT,E,5P-ET,E
768,142668807,864691136436414366,864691135502268738,2628,6P-CT,E,6P-IT,E
769,313184002,864691136024646969,864691135478283974,3536,23P,E,23P,E
770,179249819,864691135975695983,864691135119068125,512,6P-IT,E,23P,E
771,391250771,864691136601582801,864691135995020970,1072,6P-CT,E,4P,E
772,227631085,864691135468566924,864691135429269808,22148,23P,E,5P-ET,E
773,28876632,864691136143416116,864691135560478177,1480,4P,E,BC,I
774,223509229,864691135194408234,864691135387482241,232,4P,E,4P,E
775,213954991,864691135429677872,864691135382976218,3444,4P,E,BC,I
776,399100331,864691135952830499,864691135468161164,3784,23P,E,23P,E
777,78232790,864691135738353777,864691135639615035,336,23P,E,23P,E
778,36085573,864691136210140860,864691135544648744,3072,6P-IT,E,6P-IT,E
779,161390187,864691135614955467,864691136662229470,7740,5P-IT,E,5P-IT,E
780,394567682,864691135386388565,864691136012349603,4108,4P,E,BC,I
781,454621237,864691136390860927,864691136594897314,3192,6P-CT,E,5P-IT,E
782,198133514,864691135661207024,864691135947091297,5344,6P-CT,E,6P-CT,E
783,298031348,864691135749024297,864691135270505893,15704,NGC,I,23P,E
784,317883206,864691135291732150,864691135515949267,6288,4P,E,MC,I
785,456022333,864691135342171057,864691136945637343,12976,4P,E,MC,I
786,343068378,864691136091809972,864691136286568131,2724,23P,E,23P,E
787,395789075,864691135941015553,864691136116893348,10996,6P-IT,E,6P-IT,E
788,133451716,864691135394977269,864691135279448737,3692,5P-ET,E,5P-ET,E
789,7011121,864691135210005184,864691135582471277,4200,4P,E,23P,E
790,404837539,864691135941585524,864691135182107906,19248,23P,E,BPC,I
791,461812798,864691135133477792,864691136945771999,1900,6P-CT,E,6P-CT,E
792,353995199,864691136004476362,864691136437146014,416,6P-IT,E,6P-IT,E
793,304227438,864691135586059900,864691135360959815,3912,NGC,I,23P,E
794,65030935,864691136419541143,864691136106349273,4196,23P,E,23P,E
795,260973535,864691136136993917,864691135213578112,12496,5P-NP,E,MC,I
796,251820650,864691136973665052,864691136020703224,9168,5P-NP,E,MC,I
797,204657633,864691136005549704,864691135335236585,956,BC,I,5P-NP,E
798,262230731,864691135575852574,864691136106547161,3920,6P-IT,E,5P-IT,E
799,85073834,864691135469446482,864691136681183854,16012,6P-CT,E,5P-IT,E
800,326425675,864691136521820305,864691136210185660,9452,4P,E,5P-IT,E
801,174671206,864691135772491339,864691135783139123,500,6P-CT,E,6P-CT,E
802,81456519,864691135270385061,864691135975364207,3040,23P,E,23P,E
803,424042712,864691135118894813,864691135952832035,9824,4P,E,MC,I
804,434130876,864691135941891444,864691135915909478,480,23P,E,23P,E
805,254129326,864691137198526273,864691135334495209,7376,23P,E,23P,E
806,191112913,864691135586376316,864691135778290109,3384,5P-IT,E,BC,I
807,361609773,864691135684242162,864691136924230884,4552,6P-CT,E,6P-CT,E
808,33279335,864691135502722397,864691135616898665,5604,23P,E,MC,I
809,444760471,864691135454077290,864691135755635154,284,5P-IT,E,5P-IT,E
810,498600789,864691135104946765,864691135162690605,19840,4P,E,4P,E
811,168609647,864691136973651740,864691136662981086,2696,MC,I,4P,E
812,448919203,864691135341169329,864691135927352788,9248,4P,E,BC,I
813,431465152,864691135679772914,864691136662238174,2324,MC,I,5P-IT,E
814,82683677,864691135741060203,864691135489236026,4960,6P-CT,E,5P-ET,E
815,300800634,864691136487232530,864691135776989792,5376,23P,E,23P,E
816,97399767,864691136065819032,864691136042152022,5272,6P-CT,E,6P-IT,E
817,104776078,864691136700892270,864691135645292783,660,6P-CT,E,6P-CT,E
818,200818673,864691135429769520,864691135927451860,3008,23P,E,5P-IT,E
819,106845217,864691135195471658,864691134965382943,948,6P-IT,E,6P-CT,E
820,420707910,864691135946462244,864691136423703855,11036,5P-IT,E,4P,E
821,155341850,864691135988030723,864691136708869230,192,6P-IT,E,6P-CT,E
822,402027685,864691135617097833,864691135341966769,2628,MC,I,6P-IT,E
823,70471432,864691136388594704,864691136309662554,2216,BPC,I,BPC,I
